"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:ER(4.0.1)","MMR.XDC_USD.PA_RT.A","OBS_VALUE","Myanmar","Domestic currency per US Dollar","Period average","Annual","Units","5.634883333333332","5.444108333333335","640.6534166666668","933.570456356879","984.3457475600462","1162.615328625541","1234.869516666667","1360.358707040852","1429.807975201071","1518.255116666666","1381.619166666667","","","",""
"IMF.STA:ER(4.0.1)","LKA.XDC_USD.PA_RT.A","OBS_VALUE","Sri Lanka","Domestic currency per US Dollar","Period average","Annual","Units","113.0644804488214","110.5652078513965","127.60335350681","129.0690309328877","130.5646852188292","135.8569127970886","145.5816674920256","152.4464139487672","162.4648587367782","178.7449250458478","185.5925577722129","198.7643168446561","322.6326742564745","327.5065333333332",""
"IMF.STA:ER(4.0.1)","TUR.XDC_USD.PA_RT.A","OBS_VALUE","Türkiye, Republic of","Domestic currency per US Dollar","Period average","Annual","Units","1.502848629672298","1.674954551971326","1.796000944413546","1.903768242447518","2.188542417754735","2.720008527905785","3.02013474808043","3.648132635368665","4.82837014720942","5.673819308435742","7.008605415585218","8.850407549283148","16.54886041730672","23.73856612199181","32.8058614432703"
"IMF.STA:ER(4.0.1)","CHN.XDC_USD.PA_RT.A","OBS_VALUE","China, People's Republic of","Domestic currency per US Dollar","Period average","Annual","Units","6.770269028709395","6.46146132655007","6.312332826831862","6.19575834608231","6.14343409448867","6.227488672984548","6.644477829446805","6.758755086335972","6.615957177354392","6.908385009929012","6.900767269449248","6.44897518024316","6.737158112371188","7.083998423436308","7.197491107899168"
"IMF.STA:ER(4.0.1)","BRA.XDC_USD.PA_RT.A","OBS_VALUE","Brazil","Domestic currency per US Dollar","Period average","Annual","Units","1.759226710587178","1.672828755256592","1.953068611124869","2.156089151263111","2.352951962766688","3.326904382768792","3.491313421572705","3.19138944630048","3.653825361457552","3.944471097250702","5.155178787512808","5.39440078962503","5.163970291021112","4.99437976287199","5.388934905709595"
"IMF.STA:ER(4.0.1)","RUS.XDC_USD.PA_RT.A","OBS_VALUE","Russian Federation","Domestic currency per US Dollar","Period average","Annual","Units","30.36791533830595","29.38234137093022","30.8398313519917","31.83714364028132","38.37820714441685","60.93765010889515","67.05593333333331","58.34280118517192","62.66813333333335","64.73765833333331","72.10490833333331","73.65435","68.48494166666669","85.16200833333332",""
"IMF.STA:ER(4.0.1)","JPN.XDC_USD.PA_RT.A","OBS_VALUE","Japan","Domestic currency per US Dollar","Period average","Annual","Units","87.779875","79.80701983218918","79.7904554170065","97.59565827763852","105.9447810340245","121.0440256840111","108.7929000468342","112.1661410818712","110.4231793410602","109.0096659008632","106.7745822624372","109.7543238394172","131.4981404437639","140.4911000623402","151.3662913027518"
"IMF.STA:ER(4.0.1)","USA.XDC_USD.PA_RT.A","OBS_VALUE","United States","Domestic currency per US Dollar","Period average","Annual","Units","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"IMF.STA:ER(4.0.1)","ZAF.XDC_USD.PA_RT.A","OBS_VALUE","South Africa","Domestic currency per US Dollar","Period average","Annual","Units","7.32122196115288","7.261132132327345","8.209968626593316","9.65505606913526","10.85265556878306","12.7589308811644","14.70961088552673","13.32380142449915","13.23392647158334","14.44842705483334","16.45910539033333","14.77867821391667","16.3558534845","18.4502441785","18.3286575505"
"IMF.STA:ER(4.0.1)","GBR.XDC_USD.PA_RT.A","OBS_VALUE","United Kingdom","Domestic currency per US Dollar","Period average","Annual","Units","0.6471793455601648","0.6241408357404948","0.6330469888573272","0.6396605776134768","0.607729626878255","0.654545478931426","0.7406344636970842","0.7769766823441225","0.7495315402598468","0.783445110011929","0.7799995766971533","0.7270649446883225","0.8113017158277732","0.8045389067343528","0.7824145809862618"
"IMF.STA:ER(4.0.1)","IND.XDC_USD.PA_RT.A","OBS_VALUE","India","Domestic currency per US Dollar","Period average","Annual","Units","45.72581212121212","46.67046666666668","53.43723333333332","58.59784541666668","61.0295144607843","64.1519444632786","67.19531280738939","65.12156864506595","68.38946709354215","70.42034053595508","74.09956688360525","73.91801281543512","78.60449058299157","82.59927644607845","83.669281580941"
"IMF.STA:ER(4.0.1)","PYF.XDC_USD.PA_RT.A","OBS_VALUE","French Polynesia","Domestic currency per US Dollar","Period average","Annual","Units","90.0129741146296","85.7295518299287","92.8804110841429","89.8502214987385","89.8243353779009","107.553234404315","107.806815805024","105.633078151149","101.046821879543","106.588933804405","104.710608186968","100.880222566186","113.474367224106","110.34717131744","110.3063389074213"
"IMF.STA:ER(4.0.1)","BGD.XDC_USD.PA_RT.A","OBS_VALUE","Bangladesh","Domestic currency per US Dollar","Period average","Annual","Units","69.64929166666668","74.1524","81.86265833333331","78.103235","77.64140833333332","77.94690833333333","78.46809166666668","80.43754166666668","83.46620191666665","84.4535225","84.87139166666668","85.08376325","91.7454544396961","106.3094842974834","115.6036537966482"
