"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","UNIT","FREQUENCY","SCALE","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IL(12.0.0)","FRA.TRGMV_REVS.USD.A","OBS_VALUE","France","Total reserves (gold at market value)","US dollar","Annual","Millions","165852.0880711885","168490.2911435893","184521.8256037497","145161.1081786619","143977.1043334337","138198.984338294","145866.0687701827","156322.4311092472","166483.4001967897","189006.4352954885","224236.4178677114","244280.3333978951","242415.6188420221","240792.0077842541","282857.0028138249"
"IMF.STA:IL(12.0.0)","GBR.TRGMV_REVS.USD.A","OBS_VALUE","United Kingdom","Total reserves (gold at market value)","US dollar","Annual","Millions","98025.46011442468","109733.8995912878","117156.9768645913","118750.1937796762","124487.4252212962","148109.2995058983","134931.8508482785","150857.673778943","172657.7495363148","173569.1992627668","180054.1013895532","194181.3973150295","176409.9666466078","177915.3562422344","174597.8433251816"
"IMF.STA:IL(12.0.0)","ITA.TRGMV_REVS.USD.A","OBS_VALUE","Italy","Total reserves (gold at market value)","US dollar","Annual","Millions","158478.3062133865","169872.3609847408","181670.3187011458","145724.5091888718","142756.4932545029","130592.4329795149","135133.283786776","151120.4400500727","152361.9364215528","175397.9541311084","210687.3305531704","227478.3271592574","224580.5776121386","247396.3842539834","290547.2467263591"
"IMF.STA:IL(12.0.0)","DEU.TRGMV_REVS.USD.A","OBS_VALUE","Germany","Total reserves (gold at market value)","US dollar","Annual","Millions","215977.935889943","234104.0848874098","248856.4902857565","198535.1656636072","193484.7588479195","173730.9305554249","184031.3399533968","199983.070123869","198027.0616754032","224027.9610164154","268408.6033486789","295736.2194135975","293913.6901867965","322700.0662745271","377935.5743562425"
"IMF.STA:IL(12.0.0)","JPN.TRGMV_REVS.USD.A","OBS_VALUE","Japan","Total reserves (gold at market value)","US dollar","Annual","Millions","1104563.760972065","1295838.676317295","1268085.524238303","1266851.401020242","1260680.31006282","1233097.7902818","1216518.779919677","1264140.980383626","1270467.038786778","1322443.255598643","1390808.939303365","1405748.991418918","1227573.263129264","1294636.035263817","1230666.979042453"
"IMF.STA:IL(12.0.0)","BRA.TRGMV_REVS.USD.A","OBS_VALUE","Brazil","Total reserves (gold at market value)","US dollar","Annual","Millions","288574.6235366218","352010.222755829","373160.9775397316","358816.422466118","363570.2260846609","356464.9803274883","364984.039092456","373955.5186864875","374709.6734478277","356886.3869119788","355614.2514561398","362210.0791813173","324673.4497814004","355021.395541562","329732.4438133777"
"IMF.STA:IL(12.0.0)","LKA.TRGMV_REVS.USD.A","OBS_VALUE","Sri Lanka","Total reserves (gold at market value)","US dollar","Annual","Millions","7195.358507000008","6739.196545089814","7106.460348668844","7500.000871539026","8210.750127741587","7302.096590223849","6008.199165177995","7959.047614936752","6920.82556609992","7648.305273424422","5663.994385327835","3136.991506347874","1896.231717158465","4405.117005006622","6093.946546374369"
"IMF.STA:IL(12.0.0)","BGD.TRGMV_REVS.USD.A","OBS_VALUE","Bangladesh","Total reserves (gold at market value)","US dollar","Annual","Millions","11174.82866695209","9174.74965112681","12754.22689960717","18087.68920006199","22319.78831247974","27493.07797199493","32283.8385389037","33431.48289317122","32028.38371659495","32696.93614029252","43171.73533580008","46165.53245715551","33747.20227170213","21859.70919088923","21394.79573304053"
"IMF.STA:IL(12.0.0)","IND.TRGMV_REVS.USD.A","OBS_VALUE","India","Total reserves (gold at market value)","US dollar","Annual","Millions","300480.1687863455","298739.463090872","300425.5174465462","298092.4787405806","325081.0351278905","353319.0610132244","361694.3219720358","412613.7920199238","399167.1592266815","463469.902152507","590227.3599288962","638484.7799308357","567298.1539171399","627792.750126715","643042.5606255407"
"IMF.STA:IL(12.0.0)","ZAF.TRGMV_REVS.USD.A","OBS_VALUE","South Africa","Total reserves (gold at market value)","US dollar","Annual","Millions","43819.54574902379","48748.26024603807","50688.07840502973","49708.1748935691","49121.56838048536","45887.06575672488","47180.12730085645","50722.89136323611","51642.04196667351","55055.89365686704","55008.49199555677","57597.14961725167","60553.11300625435","62491.67582031288","65434.95715922648"
"IMF.STA:IL(12.0.0)","CHN.TRGMV_REVS.USD.A","OBS_VALUE","China, People's Republic of","Total reserves (gold at market value)","US dollar","Annual","Millions","2913711.711315375","3254674.06356349","3387512.973773815","3880368.26525293","3900039.302991087","3405253.363888138","3097658.421378402","3235681.60721304","3168216.331199085","3222894.57803636","3357240.875433715","3427931.394628851","3306839.412813779","3449544.415518985","3456024.808739121"
"IMF.STA:IL(12.0.0)","TUR.TRGMV_REVS.USD.A","OBS_VALUE","Türkiye, Republic of","Total reserves (gold at market value)","US dollar","Annual","Millions","85959.46166598257","87937.253858338","119182.9659754095","131053.847400859","127421.9212357592","110489.6281130154","104810.530764478","107657.0253845156","92997.23004056055","105619.6724479342","93584.5779170715","111184.8823821336","128735.0033958925","140868.4800016959","154773.7801781688"
"IMF.STA:IL(12.0.0)","USA.TRGMV_REVS.USD.A","OBS_VALUE","United States","Total reserves (gold at market value)","US dollar","Annual","Millions","488928.5087424404","537267.0411074739","574268.0841324467","448508.9207377113","434416.1887446254","383728.4975701326","405942.4287197487","451285.2634062397","449907.0888285463","516700.5833712466","628369.7153383222","716152.260973711","706644.2159988935","773426.1872891277","910036.5466514998"
"IMF.STA:IL(12.0.0)","RUS.TRGMV_REVS.USD.A","OBS_VALUE","Russian Federation","Total reserves (gold at market value)","US dollar","Annual","Millions","479222.324221266","497410.2127893539","537816.3728071289","509692.0743888875","386216.3371491123","368042.9502588406","377052.2043079455","432730.5079641104","468645.2160827187","555179.4616389249","596769.8627695641","632241.824796464","581709.9569462059","597217.0638191967",""
