"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","BOP_ACCOUNTING_ENTRY","INDICATOR","UNIT","FREQUENCY","SCALE","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IIP(13.0.0)","IND.L_P.TL_AFR.USD.A","OBS_VALUE","India","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records","US dollar","Annual","Millions","637701.842377847","661056.0644236921","746851.442060988","783707.5659319676","854505.1899590082","899757.2088924908","910455.718169018","1040984.67402519","1039872.353004328","1128396.548592287","1204727.07955281","1304487.991670526","1263638.717829595","1367427.286584483","1443220.63578607"
"IMF.STA:IIP(13.0.0)","DEU.L_P.TL_AFR.USD.A","OBS_VALUE","Germany","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records","US dollar","Annual","Millions","8018804.468358271","8213976.996461218","8819004.54041897","8609427.698056022","8258846.528870333","7443199.419880477","7425075.646621316","8492321.150867661","8034343.457616393","8539829.51625956","1.023970167287392E7","1.022351428812715E7","1.008500378761443E7","1.070396533480868E7","1.076738830156982E7"
"IMF.STA:IIP(13.0.0)","USA.L_P.TL_AFR.USD.A","OBS_VALUE","United States","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records","US dollar","Annual","Millions","2.427961937543121E7","2.66642579577894E7","2.708017437225583E7","2.951342111908352E7","3.182830353584489E7","3.089221701878358E7","3.216075699132772E7","3.541279127001443E7","3.490257775112898E7","4.051161842690315E7","4.674416006143177E7","5.377545799187956E7","4.770419422902357E7","5.425280070147584E7","6.211757736677221E7"
"IMF.STA:IIP(13.0.0)","ZAF.L_P.TL_AFR.USD.A","OBS_VALUE","South Africa","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records","US dollar","Annual","Millions","424512.8259093383","380836.7284488034","431438.8636828812","408963.6400359483","426132.7142239079","356651.20310079","401183.3346499582","523576.1124227647","445809.0845993076","466660.0122364396","439136.2085866651","453878.2625370236","439241.0378001811","368462.8944932039","382372.6534226113"
"IMF.STA:IIP(13.0.0)","CHN.L_P.TL_AFR.USD.A","OBS_VALUE","China, People's Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records","US dollar","Annual","Millions","2640566.966324437","3220300.798343719","3557250.559628973","4202137.221157565","4873558.676895849","4524314.114557125","4593957.179865483","5126292.360874089","5325231.38951296","5546830.105014799","6592281.755508016","7335579.665625425","6793898.67730515","6773958.887229906","6920945.413839906"
"IMF.STA:IIP(13.0.0)","BGD.L_P.TL_AFR.USD.A","OBS_VALUE","Bangladesh","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records","US dollar","Annual","Millions","34742.70592967109","35244.71579427456","37002.52001061299","42155.98029116085","50875.56779692232","55360.77089123161","59873.15438621713","68591.57871899655","80786.26640500744","88291.00405098025","95497.61634155788","116817.1315532027","113801.4167793887","117490.8558123544","120618.1423621722"
"IMF.STA:IIP(13.0.0)","ITA.L_P.TL_AFR.USD.A","OBS_VALUE","Italy","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records","US dollar","Annual","Millions","3099618.261138441","3050066.254492913","3307009.16271479","3415025.810594709","3234535.262470051","3001857.567587675","2886669.45405406","3368677.722395465","3209467.945027817","3363003.191416701","3777263.50910495","3705954.627479241","3483364.798460632","3709397.827597203","3814904.704481711"
"IMF.STA:IIP(13.0.0)","MMR.L_P.TL_AFR.USD.A","OBS_VALUE","Myanmar","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records","US dollar","Annual","Millions","15476.6464557278","19085.4196161534","10814.9661600234","13337.8793099241","17201.2593295457","20497.4802474324","33618.9974697754","39630.8318630748","41347.2052789411","44750.6662517425","","","","",""
"IMF.STA:IIP(13.0.0)","RUS.L_P.TL_AFR.USD.A","OBS_VALUE","Russian Federation","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records","US dollar","Annual","Millions","1152738.704937669","1095447.048257709","1238366.644352912","1289112.72659488","964950.3160691601","838767.9502547111","1021404.1943302","1066440.358205292","969191.9851969013","1154802.183695919","1052353.538388628","1172919.799226053","","",""
"IMF.STA:IIP(13.0.0)","LKA.L_P.TL_AFR.USD.A","OBS_VALUE","Sri Lanka","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records","US dollar","Annual","Millions","","39429.0144414474","45601.7137203771","47808.4959092055","52811.2097045173","53740.2371763087","54857.4316108101","60560.5630382209","61392.1829880762","65253.5751660141","","","","",""
"IMF.STA:IIP(13.0.0)","GBR.L_P.TL_AFR.USD.A","OBS_VALUE","United Kingdom","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records","US dollar","Annual","Millions","1.621495955488799E7","1.74017067570852E7","1.724386070332696E7","1.649154588816589E7","1.6669092750941E7","1.493713045013615E7","1.36163572489752E7","1.508195598985366E7","1.449251249865094E7","1.547751263662366E7","1.783847901810685E7","1.786688539043049E7","1.725888034228602E7","1.778628377057944E7","1.856299049410088E7"
"IMF.STA:IIP(13.0.0)","TUR.L_P.TL_AFR.USD.A","OBS_VALUE","Türkiye, Republic of","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records","US dollar","Annual","Millions","562806.4178097578","513912.8048737574","666171.3399261821","636809.8468917427","692110.1478954658","600963.5743645387","574315.2225796651","694723.7173421098","573375.9963547353","579258.4621569037","638835.0024254121","525142.6949627218","665723.0678810172","643951.0037432581","659921.1957114837"
"IMF.STA:IIP(13.0.0)","FRA.L_P.TL_AFR.USD.A","OBS_VALUE","France","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records","US dollar","Annual","Millions","7919079.478417723","7920728.727381057","8423310.783526951","8875025.32898588","8648624.483820993","7754893.846896145","7784417.5197952","8849081.913003648","8704071.034650939","9476245.885363674","1.107367606007685E7","1.140738844163049E7","1.102213305514603E7","1.197251532697943E7","1.192705700448088E7"
"IMF.STA:IIP(13.0.0)","BRA.L_P.TL_AFR.USD.A","OBS_VALUE","Brazil","Liabilities, Positions","Total liabilities, Adjusted using IMF accounting records","US dollar","Annual","Millions","1485388.145951291","1470928.965310126","1533867.944679684","1483653.532013767","1528633.873816569","1183041.737955506","1396299.880801333","1523085.382987603","1470876.961552671","1678861.069506466","1474503.820227347","1580492.967676464","1751888.131742315","2087855.419115175","1775538.080843389"
